Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,160,15,150,0.15,0.4898,6.3592
Single,with concrete shoulders,160,15,150,0.2,0.6077,3.7943
Single,with concrete shoulders,160,15,150,0.25,0.7184,2.5978
Single,with concrete shoulders,160,15,150,0.3,0.8237,1.9406
Single,with concrete shoulders,160,15,150,0.35,0.9247,1.5387
Single,with concrete shoulders,160,15,150,0.4,1.0221,1.2732
Single,with concrete shoulders,160,15,300,0.15,0.4119,5.3639
Single,with concrete shoulders,160,15,300,0.2,0.511,3.3986
Single,with concrete shoulders,160,15,300,0.25,0.6041,2.4912
Single,with concrete shoulders,160,15,300,0.3,0.6927,2
Single,with concrete shoulders,160,15,300,0.35,0.7775,1.7052
Single,with concrete shoulders,160,15,300,0.4,0.8594,1.5149
Single,with concrete shoulders,160,20,40,0.15,0.6816,6.924
Single,with concrete shoulders,160,20,40,0.2,0.8457,4.0257
Single,with concrete shoulders,160,20,40,0.25,0.9998,2.6727
Single,with concrete shoulders,160,20,40,0.3,1.1463,1.9289
Single,with concrete shoulders,160,20,40,0.35,1.2867,1.4736
Single,with concrete shoulders,160,20,40,0.4,1.4223,1.1723
Single,with concrete shoulders,160,20,80,0.15,0.5731,6.9761
Single,with concrete shoulders,160,20,80,0.2,0.7111,4.0858
Single,with concrete shoulders,160,20,80,0.25,0.8407,2.7399
Single,with concrete shoulders,160,20,80,0.3,0.9639,2.0026
Single,with concrete shoulders,160,20,80,0.35,1.082,1.5531
Single,with concrete shoulders,160,20,80,0.4,1.196,1.2574
Single,with concrete shoulders,160,20,150,0.15,0.4898,6.5637
Single,with concrete shoulders,160,20,150,0.2,0.6077,3.9988
Single,with concrete shoulders,160,20,150,0.25,0.7184,2.8023
Single,with concrete shoulders,160,20,150,0.3,0.8237,2.1451
Single,with concrete shoulders,160,20,150,0.35,0.9247,1.7432
Single,with concrete shoulders,160,20,150,0.4,1.0221,1.4777
Single,with concrete shoulders,160,20,300,0.15,0.4119,5.6249
Single,with concrete shoulders,160,20,300,0.2,0.511,3.6596
Single,with concrete shoulders,160,20,300,0.25,0.6041,2.7522
Single,with concrete shoulders,160,20,300,0.3,0.6927,2.261
Single,with concrete shoulders,160,20,300,0.35,0.7775,1.9662
Single,with concrete shoulders,160,20,300,0.4,0.8594,1.7759
Single,without concrete shoulders,80,0,40,0.15,0.6816,4.1268
Single,without concrete shoulders,80,0,40,0.2,0.8457,2.2114
Single,without concrete shoulders,80,0,40,0.25,0.9998,1.32
Single,without concrete shoulders,80,0,40,0.3,1.1463,0.832
Single,without concrete shoulders,80,0,40,0.35,1.2867,0.5348
Single,without concrete shoulders,80,0,40,0.4,1.4223,0.3395
Single,without concrete shoulders,80,0,80,0.15,0.5731,4.149
Single,without concrete shoulders,80,0,80,0.2,0.7111,2.237
Single,without concrete shoulders,80,0,80,0.25,0.8407,1.3485
Single,without concrete shoulders,80,0,80,0.3,0.9639,0.8633
Single,without concrete shoulders,80,0,80,0.35,1.082,0.5686
Single,without concrete shoulders,80,0,80,0.4,1.196,0.3757
Single,without concrete shoulders,80,0,150,0.15,0.4898,3.7009
Single,without concrete shoulders,80,0,150,0.2,0.6077,2.0031
Single,without concrete shoulders,80,0,150,0.25,0.7184,1.2144
