Axle Type,Shoulders,P (kN),delT (degreeC),k (MPa/m),h (m),l (m),S (MPa)
Single,with concrete shoulders,160,15,300,0.4,0.8594497517333199,1.5149119529561512
Single,with concrete shoulders,160,20,40,0.15,0.6815681023904547,6.9239936441981556
Single,with concrete shoulders,160,20,40,0.2,0.845694117191406,4.025670453202039
Single,with concrete shoulders,160,20,40,0.25,0.9997601438964008,2.6726554664257174
Single,with concrete shoulders,160,20,40,0.3,1.14625634810282,1.9289369230414044
Single,with concrete shoulders,160,20,40,0.35,1.286743094084692,1.4735591771736851
Single,with concrete shoulders,160,20,40,0.4,1.4222823030948162,1.172323601619907
Single,with concrete shoulders,160,20,80,0.15,0.57312817405141,6.97608623929848
Single,with concrete shoulders,160,20,80,0.2,0.7111411515474081,4.085821800809953
Single,with concrete shoulders,160,20,80,0.25,0.8406947211160212,2.7399067175204763
Single,with concrete shoulders,160,20,80,0.3,0.9638828540814753,2.0026069775314905
Single,with concrete shoulders,160,20,80,0.35,1.0820176551682907,1.553131930571656
Single,with concrete shoulders,160,20,80,0.4,1.195992090151228,1.2573904532020388
Single,with concrete shoulders,160,20,150,0.15,0.48978044354353356,6.5637091376251755
Single,with concrete shoulders,160,20,150,0.2,0.6077227475397252,3.9988437349248147
Single,with concrete shoulders,160,20,150,0.25,0.7184358613575632,2.8022703083820044
Single,with concrete shoulders,160,20,150,0.3,0.8237092384742634,2.1451276377481583
Single,with concrete shoulders,160,20,150,0.35,0.9246641694894633,1.7432178648457617
Single,with concrete shoulders,160,20,150,0.4,1.0220637597485862,1.4777205405876368
Single,with concrete shoulders,160,20,300,0.15,0.4118546192371317,5.624914114828972
Single,with concrete shoulders,160,20,300,0.2,0.5110318798742931,3.659625843017767
Single,with concrete shoulders,160,20,300,0.25,0.6041301404052896,2.7522160102031297
Single,with concrete shoulders,160,20,300,0.3,0.6926541458443751,2.2610034663694227
Single,with concrete shoulders,160,20,300,0.35,0.7775467854372428,1.9661674649005707
Single,with concrete shoulders,160,20,300,0.4,0.8594497517333199,1.7759119529561511
Single,with concrete shoulders,160,0,40,0.15,0.6815681023904547,6.3919936441981555
Single,with concrete shoulders,160,0,40,0.2,0.845694117191406,3.4936704532020393
Single,with concrete shoulders,160,0,40,0.25,0.9997601438964008,2.1406554664257174
Single,with concrete shoulders,160,0,40,0.3,1.14625634810282,1.3969369230414044
Single,with concrete shoulders,160,0,40,0.35,1.286743094084692,0.9415591771736851
Single,with concrete shoulders,160,0,40,0.4,1.4222823030948162,0.640323601619907
Single,with concrete shoulders,160,0,80,0.15,0.57312817405141,6.44408623929848
Single,with concrete shoulders,160,0,80,0.2,0.7111411515474081,3.553821800809953
Single,with concrete shoulders,160,0,80,0.25,0.8406947211160212,2.2079067175204763
Single,with concrete shoulders,160,0,80,0.3,0.9638828540814753,1.4706069775314907
Single,with concrete shoulders,160,0,80,0.35,1.0820176551682907,1.021131930571656
Single,with concrete shoulders,160,0,80,0.4,1.195992090151228,0.7253904532020388
Single,with concrete shoulders,160,0,150,0.15,0.48978044354353356,5.745709137625176
Single,with concrete shoulders,160,0,150,0.2,0.6077227475397252,3.1808437349248146
Single,with concrete shoulders,160,0,150,0.25,0.7184358613575632,1.9842703083820046
Single,with concrete shoulders,160,0,150,0.3,0.8237092384742634,1.3271276377481585
Single,with concrete shoulders,160,0,150,0.35,0.9246641694894633,0.9252178648457616
Single,with concrete shoulders,160,0,150,0.4,1.0220637597485862,0.6597205405876369
Single,with concrete shoulders,160,0,300,0.15,0.4118546192371317,4.580914114828972
Single,with concrete shoulders,160,0,300,0.2,0.5110318798742931,2.615625843017767
Single,with concrete shoulders,160,0,300,0.25,0.6041301404052896,1.7082160102031296
Single,with concrete shoulders,160,0,300,0.3,0.6926541458443751,1.2170034663694227
Single,with concrete shoulders,160,0,300,0.35,0.7775467854372428,0.9221674649005707
Single,with concrete shoulders,160,0,300,0.4,0.8594497517333199,0.7319119529561512
Single,with concrete shoulders,160,10,40,0.15,0.6815681023904547,6.6579936441981555
