Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,160,8,80,0.4,1.196,0.9382
Single,with concrete shoulders,160,8,150,0.15,0.4898,6.0729
Single,with concrete shoulders,160,8,150,0.2,0.6077,3.508
Single,with concrete shoulders,160,8,150,0.25,0.7184,2.3115
Single,with concrete shoulders,160,8,150,0.3,0.8237,1.6543
Single,with concrete shoulders,160,8,150,0.35,0.9247,1.2524
Single,with concrete shoulders,160,8,150,0.4,1.0221,0.9869
Single,with concrete shoulders,160,8,300,0.15,0.4119,4.9985
Single,with concrete shoulders,160,8,300,0.2,0.511,3.0332
Single,with concrete shoulders,160,8,300,0.25,0.6041,2.1258
Single,with concrete shoulders,160,8,300,0.3,0.6927,1.6346
Single,with concrete shoulders,160,8,300,0.35,0.7775,1.3398
Single,with concrete shoulders,160,8,300,0.4,0.8594,1.1495
Single,with concrete shoulders,160,13,40,0.15,0.6816,6.7378
Single,with concrete shoulders,160,13,40,0.2,0.8457,3.8395
Single,with concrete shoulders,160,13,40,0.25,0.9998,2.4865
Single,with concrete shoulders,160,13,40,0.3,1.1463,1.7427
Single,with concrete shoulders,160,13,40,0.35,1.2867,1.2874
Single,with concrete shoulders,160,13,40,0.4,1.4223,0.9861
Single,with concrete shoulders,160,13,80,0.15,0.5731,6.7899
Single,with concrete shoulders,160,13,80,0.2,0.7111,3.8996
Single,with concrete shoulders,160,13,80,0.25,0.8407,2.5537
Single,with concrete shoulders,160,13,80,0.3,0.9639,1.8164
Single,with concrete shoulders,160,13,80,0.35,1.082,1.3669
Single,with concrete shoulders,160,13,80,0.4,1.196,1.0712
Single,with concrete shoulders,160,13,150,0.15,0.4898,6.2774
Single,with concrete shoulders,160,13,150,0.2,0.6077,3.7125
Single,with concrete shoulders,160,13,150,0.25,0.7184,2.516
Single,with concrete shoulders,160,13,150,0.3,0.8237,1.8588
Single,with concrete shoulders,160,13,150,0.35,0.9247,1.4569
Single,with concrete shoulders,160,13,150,0.4,1.0221,1.1914
Single,with concrete shoulders,160,13,300,0.15,0.4119,5.2595
Single,with concrete shoulders,160,13,300,0.2,0.511,3.2942
Single,with concrete shoulders,160,13,300,0.25,0.6041,2.3868
Single,with concrete shoulders,160,13,300,0.3,0.6927,1.8956
Single,with concrete shoulders,160,13,300,0.35,0.7775,1.6008
Single,with concrete shoulders,160,13,300,0.4,0.8594,1.4105
Single,with concrete shoulders,160,17,40,0.15,0.6816,6.8442
Single,with concrete shoulders,160,17,40,0.2,0.8457,3.9459
Single,with concrete shoulders,160,17,40,0.25,0.9998,2.5929
Single,with concrete shoulders,160,17,40,0.3,1.1463,1.8491
Single,with concrete shoulders,160,17,40,0.35,1.2867,1.3938
Single,with concrete shoulders,160,17,40,0.4,1.4223,1.0925
Single,with concrete shoulders,160,17,80,0.15,0.5731,6.8963
Single,with concrete shoulders,160,17,80,0.2,0.7111,4.006
Single,with concrete shoulders,160,17,80,0.25,0.8407,2.6601
Single,with concrete shoulders,160,17,80,0.3,0.9639,1.9228
Single,with concrete shoulders,160,17,80,0.35,1.082,1.4733
Single,with concrete shoulders,160,17,80,0.4,1.196,1.1776
Single,with concrete shoulders,160,17,150,0.15,0.4898,6.441
Single,with concrete shoulders,160,17,150,0.2,0.6077,3.8761
Single,with concrete shoulders,160,17,150,0.25,0.7184,2.6796
Single,with concrete shoulders,160,17,150,0.3,0.8237,2.0224
Single,with concrete shoulders,160,17,150,0.35,0.9247,1.6205
Single,with concrete shoulders,160,17,150,0.4,1.0221,1.355
Single,with concrete shoulders,160,17,300,0.15,0.4119,5.4683
Single,with concrete shoulders,160,17,300,0.2,0.511,3.503
Single,with concrete shoulders,160,17,300,0.25,0.6041,2.5956
Single,with concrete shoulders,160,17,300,0.3,0.6927,2.1044
Single,with concrete shoulders,160,17,300,0.35,0.7775,1.8096
Single,with concrete shoulders,160,17,300,0.4,0.8594,1.6193
Single,with concrete shoulders,160,21,40,0.15,0.6816,6.9506
Single,with concrete shoulders,160,21,40,0.2,0.8457,4.0523
Single,with concrete shoulders,160,21,40,0.25,0.9998,2.6993
Single,with concrete shoulders,160,21,40,0.3,1.1463,1.9555
Single,with concrete shoulders,160,21,40,0.35,1.2867,1.5002
Single,with concrete shoulders,160,21,40,0.4,1.4223,1.1989
Single,with concrete shoulders,160,21,80,0.15,0.5731,7.0027
Single,with concrete shoulders,160,21,80,0.2,0.7111,4.1124
Single,with concrete shoulders,160,21,80,0.25,0.8407,2.7665
Single,with concrete shoulders,160,21,80,0.3,0.9639,2.0292
Single,with concrete shoulders,160,21,80,0.35,1.082,1.5797
Single,with concrete shoulders,160,21,80,0.4,1.196,1.284
Single,with concrete shoulders,160,21,150,0.15,0.4898,6.6046
Single,with concrete shoulders,160,21,150,0.2,0.6077,4.0397
Single,with concrete shoulders,160,21,150,0.25,0.7184,2.8432
Single,with concrete shoulders,160,21,150,0.3,0.8237,2.186
Single,with concrete shoulders,160,21,150,0.35,0.9247,1.7841
Single,with concrete shoulders,160,21,150,0.4,1.0221,1.5186
Single,with concrete shoulders,160,21,300,0.15,0.4119,5.6771
Single,with concrete shoulders,160,21,300,0.2,0.511,3.7118
Single,with concrete shoulders,160,21,300,0.25,0.6041,2.8044
Single,with concrete shoulders,160,21,300,0.3,0.6927,2.3132
Single,with concrete shoulders,160,21,300,0.35,0.7775,2.0184
Single,with concrete shoulders,160,21,300,0.4,0.8594,1.8281
Single,without concrete shoulders,80,0,40,0.15,0.6816,4.1268
Single,without concrete shoulders,80,0,40,0.2,0.8457,2.2114
Single,without concrete shoulders,80,0,40,0.25,0.9998,1.32
Single,without concrete shoulders,80,0,40,0.3,1.1463,0.832
Single,without concrete shoulders,80,0,40,0.35,1.2867,0.5348
Single,without concrete shoulders,80,0,40,0.4,1.4223,0.3395
Single,without concrete shoulders,80,0,80,0.15,0.5731,4.149
Single,without concrete shoulders,80,0,80,0.2,0.7111,2.237
Single,without concrete shoulders,80,0,80,0.25,0.8407,1.3485
Single,without concrete shoulders,80,0,80,0.3,0.9639,0.8633
Single,without concrete shoulders,80,0,80,0.35,1.082,0.5686
Single,without concrete shoulders,80,0,80,0.4,1.196,0.3757
Single,without concrete shoulders,80,0,150,0.15,0.4898,3.7009
Single,without concrete shoulders,80,0,150,0.2,0.6077,2.0031
Single,without concrete shoulders,80,0,150,0.25,0.7184,1.2144
Single,without concrete shoulders,80,0,150,0.3,0.8237,0.7837
Single,without concrete shoulders,80,0,150,0.35,0.9247,0.5223
Single,without concrete shoulders,80,0,150,0.4,1.0221,0.3512
Single,without concrete shoulders,80,0,300,0.15,0.4119,3.1869
Single,without concrete shoulders,80,0,300,0.2,0.511,1.7326
Single,without concrete shoulders,80,0,300,0.25,0.6041,1.0643
Single,without concrete shoulders,80,0,300,0.3,0.6927,0.705
Single,without concrete shoulders,80,0,300,0.35,0.7775,0.4912
Single,without concrete shoulders,80,0,300,0.4,0.8594,0.3548
Single,without concrete shoulders,80,8,40,0.15,0.6816,4.3644
Single,without concrete shoulders,80,8,40,0.2,0.8457,2.449
Single,without concrete shoulders,80,8,40,0.25,0.9998,1.5576
Single,without concrete shoulders,80,8,40,0.3,1.1463,1.0696
Single,without concrete shoulders,80,8,40,0.35,1.2867,0.7724
Single,without concrete shoulders,80,8,40,0.4,1.4223,0.5771
Single,without concrete shoulders,80,8,80,0.15,0.5731,4.3866
Single,without concrete shoulders,80,8,80,0.2,0.7111,2.4746
Single,without concrete shoulders,80,8,80,0.25,0.8407,1.5861
Single,without concrete shoulders,80,8,80,0.3,0.9639,1.1009
Single,without concrete shoulders,80,8,80,0.35,1.082,0.8062
Single,without concrete shoulders,80,8,80,0.4,1.196,0.6133
Single,without concrete shoulders,80,8,150,0.15,0.4898,4.0657
Single,without concrete shoulders,80,8,150,0.2,0.6077,2.3679
Single,without concrete shoulders,80,8,150,0.25,0.7184,1.5792
Single,without concrete shoulders,80,8,150,0.3,0.8237,1.1485
Single,without concrete shoulders,80,8,150,0.35,0.9247,0.8871
Single,without concrete shoulders,80,8,150,0.4,1.0221,0.716
Single,without concrete shoulders,80,8,300,0.15,0.4119,3.6549
Single,without concrete shoulders,80,8,300,0.2,0.511,2.2006
Single,without concrete shoulders,80,8,300,0.25,0.6041,1.5323
Single,without concrete shoulders,80,8,300,0.3,0.6927,1.173
Single,without concrete shoulders,80,8,300,0.35,0.7775,0.9592
Single,without concrete shoulders,80,8,300,0.4,0.8594,0.8228
Single,without concrete shoulders,80,13,40,0.15,0.6816,4.5129
Single,without concrete shoulders,80,13,40,0.2,0.8457,2.5975
Single,without concrete shoulders,80,13,40,0.25,0.9998,1.7061
Single,without concrete shoulders,80,13,40,0.3,1.1463,1.2181
